Species,URL
Motacilla alba,https://images.naturalis.nl/original/238476.jpg
Motacilla cinerea,https://images.naturalis.nl/original/132599.jpg
Motacilla flava,https://images.naturalis.nl/original/142100.jpg
Muscicapa striata,https://images.naturalis.nl/original/125403_hijken_6626.jpg
Netta rufina,https://medialib.naturalis.nl/file/id/image-134832/format/large
Numenius arquata,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.1322/format/large
Numenius phaeopus,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2667/format/large
Nycticorax nycticorax,https://medialib.naturalis.nl/file/id/ZMA.AVES.53307_1/format/large
Oenanthe oenanthe,https://images.naturalis.nl/original/102599_tapuit1.jpg
Pandion haliaetus,https://medialib.naturalis.nl/file/id/RMNH.AVES.257464_4/format/large
Parus major,https://images.naturalis.nl/original/214596.jpg
Passer domesticus,https://images.naturalis.nl/original/189701.jpg
Passer montanus,https://images.naturalis.nl/original/201447.jpg
Periparus ater,https://medialib.naturalis.nl/file/id/RMNH.5070035.a_ven/format/large
Phalacrocorax carbo,https://medialib.naturalis.nl/file/id/image-134786/format/large
Phalaropus fulicarius,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2697/format/large
Phalaropus lobatus,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2692/format/large
Phoenicurus ochruros,https://images.naturalis.nl/original/200877.jpg
Phoenicurus phoenicurus,https://images.naturalis.nl/original/129270_caravan_4855.jpg
Phylloscopus collybita,https://images.naturalis.nl/original/102245_reeuwijk_7006.jpg
Pica pica,https://images.naturalis.nl/original/132621.jpg
Picus viridis,https://medialib.naturalis.nl/file/id/image-135023/format/large
Platalea leucorodia,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2200/format/large
Plectrophenax nivalis,https://images.naturalis.nl/original/176064.jpg
Plegadis falcinellus,https://medialib.naturalis.nl/file/id/image-134801/format/large
Pluvialis squatarola,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.1437/format/large
Podiceps auritus,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2192/format/large
Podiceps cristatus,https://medialib.naturalis.nl/file/id/RMNH.AVES.161598_1/format/large
Podiceps grisegena,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.3545/format/large
Podiceps nigricollis,https://medialib.naturalis.nl/file/id/RMNH.AVES.257479_3/format/large
Prunella modularis,https://images.naturalis.nl/original/77447.jpg
Pyrrhula pyrrhula,https://images.naturalis.nl/original/193612.jpg
Recurvirostra avosetta,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.3568/format/large
Regulus ignicapilla,https://medialib.naturalis.nl/file/id/ZMA.AVES.45734_1_LAT/format/large
Regulus regulus,https://images.naturalis.nl/original/195647.jpg
Riparia riparia,https://medialib.naturalis.nl/file/id/RMNH.AVES.25795_1/format/large
Rissa tridactyla,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2756/format/large
Saxicola rubetra,https://images.naturalis.nl/original/136622_paapje_bz5a9691.jpg
Saxicola rubicola,https://images.naturalis.nl/original/101739_nieuwkoop_2502.jpg
Serinus serinus,https://images.naturalis.nl/original/101875_23-9-15-058.jpg
Sitta europaea,https://images.naturalis.nl/original/177945.jpg
Somateria mollissima,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.1897/format/large
Spinus spinus,https://medialib.naturalis.nl/file/id/RMNH.5070222_preplog.0001/format/large
Stercorarius parasiticus,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2785/format/large
Stercorarius pomarinus,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2778/format/large
Sterna hirundo,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.3623/format/large
Sterna paradisaea,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2791/format/large
Streptopelia decaocto,https://medialib.naturalis.nl/file/id/RMNH.AVES.164808_+correspondentie/format/large
Streptopelia turtur,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.3418/format/large
Sturnus vulgaris,https://images.naturalis.nl/original/132234_sluisje_1314.jpg
Sylvia atricapilla,https://images.naturalis.nl/original/118692_1.jpg
Tachybaptus ruficollis,https://medialib.naturalis.nl/file/id/RMNH.ART.296/format/large
Tadorna ferruginea,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2302/format/large
Tadorna tadorna,https://medialib.naturalis.nl/file/id/image-134816/format/large
Thalasseus sandvicensis,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Sterna_sandvicensis_Farnes.jpg/1280px-Sterna_sandvicensis_Farnes.jpg
Tringa glareola,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2638/format/large
Tringa nebularia,https://medialib.naturalis.nl/file/id/image-134938/format/large
Tringa ochropus,https://medialib.naturalis.nl/file/id/RMNH.AVES.257590.a_ven/format/large
Tringa totanus,https://medialib.naturalis.nl/file/id/ZMA.AVES.20844_1/format/large
Troglodytes troglodytes,https://medialib.naturalis.nl/file/id/RMNH.AVES.67569_1/format/large
Turdus merula,https://images.naturalis.nl/original/202492.jpg
Turdus philomelos,https://images.naturalis.nl/original/185595.jpg
Turdus pilaris,https://images.naturalis.nl/original/138468.jpg
Turdus viscivorus,https://images.naturalis.nl/original/198452.jpg
Tyto alba,https://medialib.naturalis.nl/file/id/RMNH.AVES.257844_6/format/large
Upupa epops,https://medialib.naturalis.nl/file/id/RMNH.AVES.257549_3/format/large
Uria aalge,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.3576/format/large
Vanellus vanellus,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.1175/format/large
Xema sabini,https://images.naturalis.nl/original/87148.jpg
